Severity,Category,Endpoint,Issue,Table,Recommendation,Priority
HIGH,Implementation,POST /auth/refresh,Not implemented - throws error,auth_management.sessions,Implement refresh token logic using SessionManagementService,SPRINT_0
HIGH,Route Order,GET /educational/modules/difficulty/:difficulty,Route conflict - must be before /modules/:id,educational_content.modules,Move route definition above /modules/:id,SPRINT_0
HIGH,Route Order,GET /social/classrooms/code/:code,Route conflict - must be before /classrooms/:id,social_features.classrooms,Move route definition above /classrooms/:id,SPRINT_0
CRITICAL,Security,gamification/user-stats.controller.ts,JwtAuthGuard disabled - anyone can access,gamification_system.user_stats,Uncomment @UseGuards(JwtAuthGuard),SPRINT_0
CRITICAL,Security,gamification/achievements.controller.ts,JwtAuthGuard disabled - anyone can access,gamification_system.achievements,Uncomment @UseGuards(JwtAuthGuard),SPRINT_0
HIGH,Security,POST /missions/check-progress,System webhook without IP whitelist,gamification_system.missions,Add IP whitelist or API key validation,SPRINT_0
HIGH,Security,POST /notifications,System webhook without IP whitelist,gamification_system.notifications,Add IP whitelist or API key validation,SPRINT_0
MEDIUM,Code Quality,PATCH /gamification/users/:userId/stats,Using Record<string any> instead of DTO,gamification_system.user_stats,Create UpdateUserStatsDto with validation,SPRINT_1
MEDIUM,Code Quality,POST /progress/submissions/submit,Using inline object instead of DTO,progress_tracking.exercise_submissions,Create SubmitExerciseDto,SPRINT_1
MEDIUM,Code Quality,POST /progress/submissions/:id/grade,Using inline object instead of DTO,progress_tracking.exercise_submissions,Create GradeSubmissionDto,SPRINT_1
MEDIUM,Code Quality,POST /progress/submissions/:id/feedback,Using inline object instead of DTO,progress_tracking.exercise_submissions,Create ProvideFeedbackDto,SPRINT_1
MEDIUM,Code Quality,PATCH /progress/submissions/:id/status,Using inline object instead of DTO,progress_tracking.exercise_submissions,Create UpdateSubmissionStatusDto,SPRINT_1
MEDIUM,Code Quality,PATCH /social/classrooms/:id/schedule,Using any[] instead of typed DTO,social_features.classrooms,Create ClassroomScheduleDto,SPRINT_1
HIGH,Missing Routes,audit_logging.audit_logs,No routes for audit logs,audit_logging.audit_logs,Create AuditLogsController with GET /api/audit/logs,SPRINT_1
HIGH,Missing Routes,system_configuration.feature_flags,No feature flags management,system_configuration.feature_flags,Create FeatureFlagsController,SPRINT_0
HIGH,Missing Routes,system_configuration.system_settings,No system settings management,system_configuration.system_settings,Create SystemSettingsController,SPRINT_0
HIGH,Missing Routes,social_features.friendships,No friendship system routes,social_features.friendships,Create FriendshipsController,SPRINT_1
MEDIUM,Missing Routes,gamification_system.ml_coins_transactions,No transaction history,gamification_system.ml_coins_transactions,Add ML Coins transaction routes,SPRINT_1
MEDIUM,Missing Routes,educational_content.assessment_rubrics,No rubric management routes,educational_content.assessment_rubrics,Add rubric CRUD routes,SPRINT_2
MEDIUM,Missing Routes,gamification_system.comodines_inventory,No powerup management,gamification_system.comodines_inventory,Create powerup inventory routes,SPRINT_2
MEDIUM,Missing Routes,progress_tracking.learning_sessions,No session tracking,progress_tracking.learning_sessions,Create LearningSessionsController,SPRINT_2
MEDIUM,Missing Routes,progress_tracking.exercise_attempts,No attempt tracking,progress_tracking.exercise_attempts,Add attempt tracking routes,SPRINT_2
MEDIUM,Missing Routes,system_configuration.notification_settings,No user notification prefs,system_configuration.notification_settings,Add notification settings routes,SPRINT_2
LOW,Missing Routes,gamification_system.leaderboard_metadata,No leaderboard routes,gamification_system.leaderboard_metadata,Create LeaderboardController,SPRINT_3
LOW,Missing Routes,educational_content.media_resources,Partial media routes,educational_content.media_resources,Complete MediaResourcesController,SPRINT_3
LOW,Missing Routes,audit_logging.user_activity_logs,No activity monitoring,audit_logging.user_activity_logs,Add user activity routes,SPRINT_3
LOW,Missing Routes,auth_management.profiles,No extended profile routes,auth_management.profiles,Add profile management routes,SPRINT_3
LOW,Missing Routes,auth_management.auth_attempts,No auth monitoring,auth_management.auth_attempts,Add auth attempts admin routes,SPRINT_3
LOW,Validation,142 UUID parameters,Only 8% use ParseUUIDPipe,Multiple tables,Add ParseUUIDPipe to all UUID params,SPRINT_3
LOW,Documentation,All modules,Public vs authenticated not documented,N/A,Document endpoint access levels,SPRINT_2
LOW,Naming,GET /progress/users/:userId,Ambiguous resource name,progress_tracking.module_progress,Consider /progress/module-progress/users/:userId,BACKLOG
