Seed File,Error Type,Table,Column,Invalid Value,Valid Values (Sample),Severity,Action Required
"audit_logging/02-system-metrics.sql","table_not_found","audit_logging.system_metrics","N/A","N/A","N/A","critical","Create table in DDL or remove seed"
"content_management/01-marie-curie-bio.sql","table_not_found","content_management.content","N/A","N/A","N/A","critical","Create table in DDL or remove seed"
"content_management/03-tags.sql","table_not_found","content_management.tags","N/A","N/A","N/A","critical","Create table in DDL or remove seed"
"educational_content/02-exercises-module1.sql","invalid_enum_value","educational_content.exercises","exercise_type","multiple_choice","crucigrama, linea_tiempo, mapa_conceptual, ...","critical","Map to valid ENUM value or add to DDL ENUM"
"educational_content/02-exercises-module1.sql","invalid_enum_value","educational_content.exercises","exercise_type","essay","crucigrama, linea_tiempo, mapa_conceptual, ...","critical","Map to valid ENUM value or add to DDL ENUM"
"educational_content/02-exercises-module1.sql","invalid_enum_value","educational_content.exercises","exercise_type","fill_blank","crucigrama, linea_tiempo, mapa_conceptual, ...","critical","Map to valid ENUM value or add to DDL ENUM"
"educational_content/02-exercises-module1.sql","invalid_enum_value","educational_content.exercises","exercise_type","interactive","crucigrama, linea_tiempo, mapa_conceptual, ...","critical","Map to valid ENUM value or add to DDL ENUM"
"educational_content/03-exercises-module2.sql","invalid_enum_value","educational_content.exercises","exercise_type","detective","detective_textual, prediccion_narrativa, analisis_fuentes, ...","critical","Change to 'detective_textual' or add to ENUM"
"educational_content/03-exercises-module2.sql","invalid_enum_value","educational_content.exercises","exercise_type","predictor","detective_textual, prediccion_narrativa, analisis_fuentes, ...","critical","Change to 'prediccion_narrativa' or add to ENUM"
"educational_content/03-exercises-module2.sql","invalid_enum_value","educational_content.exercises","exercise_type","analysis","detective_textual, prediccion_narrativa, analisis_fuentes, ...","critical","Change to 'analisis_fuentes' or add to ENUM"
"educational_content/04-exercises-module3.sql","invalid_enum_value","educational_content.exercises","exercise_type","debate","debate_digital, tribunal_opiniones, analisis_fuentes, ...","critical","Change to 'debate_digital' or add to ENUM"
"educational_content/04-exercises-module3.sql","invalid_enum_value","educational_content.exercises","exercise_type","analysis","debate_digital, tribunal_opiniones, analisis_fuentes, ...","critical","Change to 'analisis_fuentes' or add to ENUM"
"educational_content/04-exercises-module3.sql","invalid_enum_value","educational_content.exercises","exercise_type","tribunal","debate_digital, tribunal_opiniones, analisis_fuentes, ...","critical","Change to 'tribunal_opiniones' or add to ENUM"
"educational_content/05-exercises-module4.sql","invalid_enum_value","educational_content.exercises","exercise_type","presentacion","podcast_argumentativo, collage_digital, diario_interactivo, ...","critical","No direct mapping found - add to ENUM or use alternative"
"educational_content/05-exercises-module4.sql","invalid_enum_value","educational_content.exercises","exercise_type","podcast","podcast_argumentativo, collage_digital, diario_interactivo, ...","critical","Change to 'podcast_argumentativo' or add to ENUM"
"educational_content/05-exercises-module4.sql","invalid_enum_value","educational_content.exercises","exercise_type","video","podcast_argumentativo, collage_digital, diario_interactivo, ...","critical","No direct mapping found - add to ENUM or use alternative"
"educational_content/06-exercises-module5.sql","invalid_enum_value","educational_content.exercises","exercise_type","diario_multimedia","diario_interactivo, collage_digital, comprension_auditiva, ...","critical","Change to 'diario_interactivo' or add to ENUM"
"educational_content/06-exercises-module5.sql","invalid_enum_value","educational_content.exercises","exercise_type","video_carta","diario_interactivo, collage_digital, comprension_auditiva, ...","critical","No direct mapping found - add to ENUM or use alternative"
"educational_content/06-exercises-module5.sql","invalid_enum_value","educational_content.exercises","exercise_type","comic_digital","diario_interactivo, collage_digital, comprension_auditiva, ...","critical","Change to 'collage_digital' or add to ENUM"
